"N(LI)","Y(LIQUID,..-Q02)","Y(LIQUID,..-Q04)","Y(LIQUID,..-Q06)","Y(LIQUID,..-Q01)","Y(LIQUID,..-Q05)","Y(LIQUID,..-Q03)"
  2.00000E-01,  2.31701E-02,  3.51556E-02,  5.35191E-01,  1.20145E-02,  1.72251E-01,  2.22218E-01
  2.00010E-01,  2.31701E-02,  3.51578E-02,  5.35185E-01,  1.20160E-02,  1.72260E-01,  2.22211E-01
  2.00020E-01,  2.31700E-02,  3.51601E-02,  5.35179E-01,  1.20175E-02,  1.72269E-01,  2.22205E-01
  2.02020E-01,  2.31557E-02,  3.56120E-02,  5.33971E-01,  1.23229E-02,  1.73984E-01,  2.20955E-01
  2.04020E-01,  2.31415E-02,  3.60663E-02,  5.32757E-01,  1.26336E-02,  1.75697E-01,  2.19705E-01
  2.06020E-01,  2.31275E-02,  3.65229E-02,  5.31538E-01,  1.29497E-02,  1.77408E-01,  2.18454E-01
  2.10000E-01,  2.31000E-02,  3.74383E-02,  5.29096E-01,  1.35952E-02,  1.80807E-01,  2.15964E-01
  2.20000E-01,  2.30330E-02,  3.97793E-02,  5.22865E-01,  1.53161E-02,  1.89304E-01,  2.09703E-01
  2.30000E-01,  2.29684E-02,  4.21798E-02,  5.16494E-01,  1.71856E-02,  1.97733E-01,  2.03439E-01
  2.40000E-01,  2.29054E-02,  4.46408E-02,  5.09983E-01,  1.92124E-02,  2.06083E-01,  1.97175E-01
  2.50000E-01,  2.28433E-02,  4.71632E-02,  5.03328E-01,  2.14055E-02,  2.14343E-01,  1.90917E-01
  2.60000E-01,  2.27811E-02,  4.97479E-02,  4.96528E-01,  2.37742E-02,  2.22500E-01,  1.84669E-01
  2.70000E-01,  2.27184E-02,  5.23953E-02,  4.89580E-01,  2.63282E-02,  2.30543E-01,  1.78435E-01
  2.80000E-01,  2.26541E-02,  5.51059E-02,  4.82485E-01,  2.90775E-02,  2.38457E-01,  1.72221E-01
  2.90000E-01,  2.25877E-02,  5.78795E-02,  4.75239E-01,  3.20324E-02,  2.46229E-01,  1.66032E-01
  3.00000E-01,  2.25184E-02,  6.07160E-02,  4.67842E-01,  3.52032E-02,  2.53846E-01,  1.59874E-01
  3.10000E-01,  2.24454E-02,  6.36147E-02,  4.60294E-01,  3.86009E-02,  2.61292E-01,  1.53754E-01
  3.20000E-01,  2.23680E-02,  6.65746E-02,  4.52593E-01,  4.22364E-02,  2.68552E-01,  1.47676E-01
  3.30000E-01,  2.22856E-02,  6.95943E-02,  4.44741E-01,  4.61209E-02,  2.75610E-01,  1.41648E-01
  3.40000E-01,  2.21973E-02,  7.26718E-02,  4.36737E-01,  5.02656E-02,  2.82452E-01,  1.35676E-01
  3.50000E-01,  2.21026E-02,  7.58050E-02,  4.28584E-01,  5.46821E-02,  2.89059E-01,  1.29768E-01
  3.60000E-01,  2.20008E-02,  7.89910E-02,  4.20282E-01,  5.93819E-02,  2.95415E-01,  1.23929E-01
  3.70000E-01,  2.18912E-02,  8.22264E-02,  4.11833E-01,  6.43766E-02,  3.01504E-01,  1.18169E-01
  3.80000E-01,  2.17734E-02,  8.55075E-02,  4.03240E-01,  6.96778E-02,  3.07307E-01,  1.12494E-01
  3.90000E-01,  2.16468E-02,  8.88300E-02,  3.94507E-01,  7.52970E-02,  3.12808E-01,  1.06911E-01
  4.00000E-01,  2.15108E-02,  9.21889E-02,  3.85637E-01,  8.12457E-02,  3.17988E-01,  1.01429E-01
  4.10000E-01,  2.13651E-02,  9.55790E-02,  3.76634E-01,  8.75352E-02,  3.22830E-01,  9.60563E-02
  4.20000E-01,  2.12091E-02,  9.89944E-02,  3.67504E-01,  9.41765E-02,  3.27317E-01,  9.07997E-02
  4.30000E-01,  2.10425E-02,  1.02428E-01,  3.58251E-01,  1.01180E-01,  3.31429E-01,  8.56678E-02
  4.40000E-01,  2.08650E-02,  1.05874E-01,  3.48884E-01,  1.08557E-01,  3.35151E-01,  8.06684E-02
  4.50000E-01,  2.06761E-02,  1.09324E-01,  3.39409E-01,  1.16315E-01,  3.38466E-01,  7.58096E-02
  4.60000E-01,  2.04756E-02,  1.12770E-01,  3.29833E-01,  1.24465E-01,  3.41357E-01,  7.10989E-02
  4.70000E-01,  2.02632E-02,  1.16204E-01,  3.20166E-01,  1.33014E-01,  3.43809E-01,  6.65437E-02
  4.80000E-01,  2.00384E-02,  1.19615E-01,  3.10419E-01,  1.41968E-01,  3.45809E-01,  6.21509E-02
  4.90000E-01,  1.98010E-02,  1.22994E-01,  3.00601E-01,  1.51333E-01,  3.47344E-01,  5.79268E-02
  5.00000E-01,  1.95506E-02,  1.26330E-01,  2.90726E-01,  1.61114E-01,  3.48403E-01,  5.38771E-02
  5.10000E-01,  1.92868E-02,  1.29611E-01,  2.80806E-01,  1.71312E-01,  3.48978E-01,  5.00064E-02
  5.20000E-01,  1.90093E-02,  1.32826E-01,  2.70856E-01,  1.81927E-01,  3.49063E-01,  4.63184E-02
  5.30000E-01,  1.87177E-02,  1.35961E-01,  2.60890E-01,  1.92960E-01,  3.48655E-01,  4.28157E-02
  5.40000E-01,  1.84115E-02,  1.39003E-01,  2.50927E-01,  2.04405E-01,  3.47754E-01,  3.94996E-02
  5.50000E-01,  1.80904E-02,  1.41938E-01,  2.40982E-01,  2.16258E-01,  3.46361E-01,  3.63701E-02
  5.60000E-01,  1.77540E-02,  1.44751E-01,  2.31075E-01,  2.28512E-01,  3.44482E-01,  3.34259E-02
  5.70000E-01,  1.74020E-02,  1.47427E-01,  2.21223E-01,  2.41158E-01,  3.42125E-01,  3.06644E-02
  5.80000E-01,  1.70342E-02,  1.49952E-01,  2.11445E-01,  2.54186E-01,  3.39302E-01,  2.80818E-02
  5.90000E-01,  1.66504E-02,  1.52309E-01,  2.01760E-01,  2.67583E-01,  3.36024E-01,  2.56732E-02
  6.00000E-01,  1.62507E-02,  1.54484E-01,  1.92187E-01,  2.81338E-01,  3.32307E-01,  2.34328E-02
  6.10000E-01,  1.58351E-02,  1.56462E-01,  1.82744E-01,  2.95436E-01,  3.28169E-01,  2.13539E-02
  6.20000E-01,  1.54039E-02,  1.58228E-01,  1.73449E-01,  3.09864E-01,  3.23626E-01,  1.94292E-02
  6.30000E-01,  1.49575E-02,  1.59768E-01,  1.64317E-01,  3.24609E-01,  3.18698E-01,  1.76509E-02
  6.40000E-01,  1.44964E-02,  1.61068E-01,  1.55365E-01,  3.39656E-01,  3.13404E-01,  1.60111E-02
  6.50000E-01,  1.40213E-02,  1.62116E-01,  1.46607E-01,  3.54991E-01,  3.07763E-01,  1.45017E-02
  6.60000E-01,  1.35330E-02,  1.62900E-01,  1.38057E-01,  3.70601E-01,  3.01794E-01,  1.31143E-02
  6.70000E-01,  1.30326E-02,  1.63409E-01,  1.29726E-01,  3.86474E-01,  2.95517E-01,  1.18411E-02
  6.80000E-01,  1.25212E-02,  1.63631E-01,  1.21625E-01,  4.02598E-01,  2.88950E-01,  1.06742E-02
  6.90000E-01,  1.20000E-02,  1.63558E-01,  1.13765E-01,  4.18960E-01,  2.82111E-01,  9.60609E-03
  7.00000E-01,  1.14705E-02,  1.63181E-01,  1.06153E-01,  4.35550E-01,  2.75016E-01,  8.62954E-03
  7.10000E-01,  1.09340E-02,  1.62493E-01,  9.87960E-02,  4.52358E-01,  2.67682E-01,  7.73772E-03
  7.20000E-01,  1.03922E-02,  1.61487E-01,  9.17009E-02,  4.69373E-01,  2.60123E-01,  6.92417E-03
  7.30000E-01,  9.84658E-03,  1.60156E-01,  8.48724E-02,  4.86587E-01,  2.52356E-01,  6.18284E-03
  7.40000E-01,  9.29898E-03,  1.58496E-01,  7.83143E-02,  5.03990E-01,  2.44392E-01,  5.50806E-03
  7.50000E-01,  8.75110E-03,  1.56504E-01,  7.20298E-02,  5.21575E-01,  2.36246E-01,  4.89456E-03
  7.60000E-01,  8.20472E-03,  1.54175E-01,  6.60209E-02,  5.39333E-01,  2.27930E-01,  4.33745E-03
  7.70000E-01,  7.66165E-03,  1.51507E-01,  6.02888E-02,  5.57256E-01,  2.19455E-01,  3.83219E-03
  7.80000E-01,  7.12374E-03,  1.48499E-01,  5.48343E-02,  5.75338E-01,  2.10831E-01,  3.37458E-03
  7.90000E-01,  6.59281E-03,  1.45149E-01,  4.96569E-02,  5.93570E-01,  2.02070E-01,  2.96076E-03
  8.00000E-01,  6.07070E-03,  1.41458E-01,  4.47561E-02,  6.11946E-01,  1.93182E-01,  2.58716E-03
  8.10000E-01,  5.55923E-03,  1.37427E-01,  4.01302E-02,  6.30459E-01,  1.84174E-01,  2.25050E-03
  8.20000E-01,  5.06019E-03,  1.33055E-01,  3.57775E-02,  6.49102E-01,  1.75057E-01,  1.94776E-03
  8.30000E-01,  4.57536E-03,  1.28345E-01,  3.16955E-02,  6.67869E-01,  1.65839E-01,  1.67616E-03
  8.40000E-01,  4.10648E-03,  1.23299E-01,  2.78814E-02,  6.86753E-01,  1.56527E-01,  1.43316E-03
  8.50000E-01,  3.65524E-03,  1.17920E-01,  2.43320E-02,  7.05747E-01,  1.47130E-01,  1.21642E-03
  8.60000E-01,  3.22331E-03,  1.12210E-01,  2.10437E-02,  7.24845E-01,  1.37653E-01,  1.02379E-03
  8.70000E-01,  2.81227E-03,  1.06174E-01,  1.80128E-02,  7.44042E-01,  1.28105E-01,  8.53292E-04
  8.80000E-01,  2.42369E-03,  9.98155E-02,  1.52351E-02,  7.63331E-01,  1.18492E-01,  7.03128E-04
  8.90000E-01,  2.05907E-03,  9.31380E-02,  1.27064E-02,  7.82706E-01,  1.08819E-01,  5.71635E-04
  9.00000E-01,  1.71984E-03,  8.61461E-02,  1.04223E-02,  8.02161E-01,  9.90935E-02,  4.57292E-04
  9.10000E-01,  1.40738E-03,  7.88446E-02,  8.37826E-03,  8.21691E-01,  8.93202E-02,  3.58703E-04
  9.20000E-01,  1.12303E-03,  7.12381E-02,  6.56951E-03,  8.41290E-01,  7.95045E-02,  2.74587E-04
  9.30000E-01,  8.68045E-04,  6.33315E-02,  4.99135E-03,  8.60954E-01,  6.96514E-02,  2.03769E-04
  9.40000E-01,  6.43636E-04,  5.51298E-02,  3.63901E-03,  8.80677E-01,  5.97658E-02,  1.45169E-04
  9.50000E-01,  4.50955E-04,  4.66380E-02,  2.50768E-03,  9.00454E-01,  4.98520E-02,  9.77966E-05
  9.60000E-01,  2.91098E-04,  3.78611E-02,  1.59258E-03,  9.20280E-01,  3.99144E-02,  6.07434E-05
  9.70000E-01,  1.65106E-04,  2.88039E-02,  8.88946E-04,  9.40152E-01,  2.99567E-02,  3.31739E-05
  9.80000E-01,  7.39716E-05,  1.94715E-02,  3.92057E-04,  9.60065E-01,  1.99829E-02,  1.43207E-05
  2.00000E-01,  2.31701E-02,  3.51556E-02,  5.35191E-01,  1.20145E-02,  1.72251E-01,  2.22218E-01
