"N(K)","Y(LIQUID,..-Q02)","Y(LIQUID,..-Q04)","Y(LIQUID,..-Q06)","Y(LIQUID,..-Q01)","Y(LIQUID,..-Q05)","Y(LIQUID,..-Q03)"
  2.00000E-01,  5.13067E-03,  3.45697E-02,  2.75923E-01,  4.87977E-02,  3.53729E-01,  2.81850E-01
  2.00010E-01,  5.13133E-03,  3.45718E-02,  2.75936E-01,  4.87974E-02,  3.53724E-01,  2.81839E-01
  2.00020E-01,  5.13199E-03,  3.45739E-02,  2.75950E-01,  4.87972E-02,  3.53719E-01,  2.81828E-01
  2.02020E-01,  5.26610E-03,  3.49937E-02,  2.78658E-01,  4.87499E-02,  3.52707E-01,  2.79625E-01
  2.04020E-01,  5.40278E-03,  3.54160E-02,  2.81363E-01,  4.87033E-02,  3.51693E-01,  2.77422E-01
  2.06020E-01,  5.54206E-03,  3.58407E-02,  2.84065E-01,  4.86574E-02,  3.50675E-01,  2.75220E-01
  2.10000E-01,  5.82714E-03,  3.66935E-02,  2.89431E-01,  4.85680E-02,  3.48641E-01,  2.70840E-01
  2.20000E-01,  6.59189E-03,  3.88827E-02,  3.02844E-01,  4.83561E-02,  3.43475E-01,  2.59850E-01
  2.30000E-01,  7.43051E-03,  4.11435E-02,  3.16147E-01,  4.81624E-02,  3.38228E-01,  2.48889E-01
  2.40000E-01,  8.34911E-03,  4.34824E-02,  3.29323E-01,  4.79878E-02,  3.32895E-01,  2.37962E-01
  2.50000E-01,  9.35434E-03,  4.59065E-02,  3.42355E-01,  4.78330E-02,  3.27471E-01,  2.27080E-01
  2.60000E-01,  1.04535E-02,  4.84238E-02,  3.55221E-01,  4.76990E-02,  3.21951E-01,  2.16252E-01
  2.70000E-01,  1.16545E-02,  5.10424E-02,  3.67900E-01,  4.75870E-02,  3.16329E-01,  2.05487E-01
  2.80000E-01,  1.29660E-02,  5.37714E-02,  3.80367E-01,  4.74979E-02,  3.10599E-01,  1.94799E-01
